	cell1	cell2	cell3	cell4	cell5	cell6	cell7	cell8	cell9	cell10	cell11	cell12	cell13	cell14	cell15	cell16	cell17	cell18	cell19	cell20	cell21	cell22	cell23	cell24	cell25	cell26	cell27	cell28	cell29	cell30	cell31	cell32	cell33	cell34	cell35	cell36	cell37	cell38	cell39	cell40	cell41	cell42	cell43	cell44	cell45	cell46	cell47	cell48	cell49	cell50	cell51	cell52	cell53	cell54	cell55	cell56	cell57	cell58	cell59	cell60	cell61	cell62	cell63	cell64	cell65	cell66	cell67	cell68	cell69	cell70	cell71	cell72	cell73	cell74	cell75	cell76	cell77	cell78	cell79	cell80	cell81	cell82	cell83	cell84	cell85	cell86	cell87	cell88	cell89	cell90	cell91	cell92	cell93	cell94	cell95	cell96
gene18	115.31	78.28	13.75	192.99	178.45	28.57	29.79	15.71	41.65	51.8	42.34	28.72	48.86	12.19	50.05	14.99	204.38	154.19	125.3	55.84	102.23	34.71	65.16	39.71	1.87	83.59	25.62	162.66	31.69	54.04	61.19	2.95	34.9	6.9	18.18	127.04	131.03	4.76	6.4	4.9	268.08	10.93	148.79	22.02	2.29	21.86	91.14	9.25	47.93	19.8	284.76	17.84	175.1	47.78	57.01	64.25	25.27	77	12.55	66.22	46.16	18.1	1.8	235.51	38.96	190.45	24.38	25.87	0.42	17.72	8.37	0	2.23	0	168.26	203.42	54	4.65	168.32	136.12	15.91	136.72	4.14	2.72	1.84	0	97.69	3.25	36.57	23.42	461.51	136.87	5.38	80.15	122.46	26.28
gene19	4.88	14.28	5.6	188.82	5.1	36.85	3.27	13.88	236.83	445	40.28	49.89	431.22	69.52	177.79	218.6	44.72	127.94	18.58	35.93	4.16	39.69	246.13	15.87	11.15	69.52	164.57	191.82	158.96	1.58	5.22	20.02	23.65	258.57	213.94	1.95	36.79	74.25	219.39	570.91	27.05	261.09	6.69	27.17	0	38.75	84.67	4.18	15.39	59.29	159.16	153.51	15.14	0	116.3	6.67	25.76	14.48	0	478.73	9.79	23.23	10.49	2.04	14.83	23.84	17.78	22.05	125.1	394.29	25.36	315.74	1.9	12.97	3.54	175.53	4.48	161.87	41.07	241.3	149.19	176.82	502.64	0.76	2.13	216.8	18.97	405.6	224.58	310.08	16.36	0	2.36	24.54	17.07	348.96
gene20	48.3	0	139.24	15.12	295.88	55.04	47.49	13.29	31.36	0	0	61.66	123.49	56.18	0	8.24	37.46	86.28	13.72	21.97	2.5	89.3	42.13	147.17	29.92	10.57	9.22	1.21	189.5	114.35	34.82	84.02	80.07	331.12	52.57	1.95	304.63	80.54	25.46	299.67	15.94	50.69	0.76	104.84	17.75	416.65	37.15	36	12.12	64.75	190.16	42.38	27.22	344.99	0	26.59	20.9	119.4	311.31	19.57	37.74	60.01	0	1.62	0	98.66	0	12.72	120.69	26.7	30.48	443.82	13.68	0	46.32	11.7	52.57	229.5	366.42	94.9	355.69	281.59	5.83	15.84	0	0	51.11	8.4	109.79	554.7	0	0	3.25	0	188.84	0
gene21	224.39	22.02	358.01	116.83	40.61	9.55	166.59	83.26	26.1	288.03	41.43	112.52	201.67	38.8	138.85	193.99	235.75	197.44	245.41	168.82	157.08	87.91	148.27	160.41	19.17	218.98	91.74	158.57	108.17	480.81	15.42	314.74	466.79	67	419.3	17.14	124.89	8.83	119.77	44.42	37.15	114.35	23.36	432.5	20.68	34.42	32.61	17.33	236.96	131.02	98.47	62.34	104.99	252.13	513.07	20.74	21.44	146.21	5.88	360.35	106.31	345.06	114.09	156.2	83.59	194.68	142.82	270.53	14.6	30.95	50.3	249.88	57.02	118.19	200.3	263.92	247.18	15.89	128.12	144.41	73.01	272.06	26.84	124.76	83.86	449.34	94.09	47.56	105.43	87.69	52.13	13.77	18.88	61.32	56.36	889.97
gene22	981.42	1704.73	818.01	456.16	313.74	1236.34	393.14	308.37	747.69	918.02	175.26	1093.31	540.77	411.32	591.73	434.96	360.02	666.4	711.99	502.66	95.12	351.25	616.66	257.54	1172.61	916.09	518.9	495.88	839.75	1091.52	377.79	495.79	332.64	686.41	616.46	255.99	669.7	310.7	597.35	1310.95	661.87	776.76	440.48	406.14	169.07	782.52	1194.97	1011.21	856.45	166.23	453.88	421.53	399.5	264.49	389.84	767.96	362.37	725.46	808.62	763.35	376.52	116.86	520.18	879.8	487.47	334.21	1130.95	370.74	372.14	991.54	369.88	2831.88	263.79	38.92	650.95	266.47	679.5	1328.15	625.59	309.9	586.79	526.36	1012.25	320.37	606.59	19.44	390.82	867.7	467.98	718.28	1146.22	875.52	270.22	215.5	1474.44	405.26
gene23	336.97	84.24	270.21	184.65	136.69	455.51	79.31	175.5	258.85	262.04	177.39	282.25	414.6	93.81	79.26	211.09	82.35	167.5	158.4	94.87	128.42	220.54	235.53	141.07	472.07	640.17	250.84	297.22	116.62	205.24	144.06	83.12	277.21	55.92	177.45	49.56	154.16	36.57	229.48	71.74	161.78	221.26	335.37	463.43	400.55	556.08	68.34	473.56	219.27	107.78	418.88	266.88	583.29	176.86	88.34	113.46	76.6	84.49	124.2	37.13	239.06	101.15	209.35	292.34	172.32	343.08	81.45	383.23	1529.05	171.08	147.36	127.62	460.86	433.84	135.24	348.98	253.68	239.47	443.85	117.35	78.03	318.48	34.05	120.47	155.68	548.12	285.13	202.28	144.82	94.5	360	372.57	53.55	63.51	121.59	163.64
gene24	176.36	380.23	144.53	207.42	127.48	25.69	217.49	156.84	134.2	80.77	175.26	223.33	158.97	183.59	109.28	88.97	134.15	130.34	70.34	118.11	105.14	121.05	182.55	191.84	41.14	179.69	23.65	242.69	400.48	300.85	165.39	77.34	225.1	184.51	281.94	142.65	128.95	495.16	116.18	229.16	202.71	265.75	360.34	310.99	629.86	345.64	149.44	414.81	201.66	186.85	156.08	227.49	41.06	212.74	302.2	192.76	34.84	202.52	551.58	196.63	144.1	129.51	179.55	347.58	171.13	149.51	190.06	178.11	168.97	253.69	353.62	340.25	168.67	0	385.2	73.1	205.83	212.51	326.63	96.38	229.3	88.81	425.38	15.84	110.86	0	147.31	116.43	201.26	187.3	415.22	42.36	56.08	171.6	159.79	68.25
gene25	99.01	80.93	26.44	118.84	0	318.01	160.95	98.36	61.47	0	24.65	58.73	79.49	43.14	29.23	37.89	142.61	53.24	37.74	5.49	0	15.88	77.35	55.19	39.27	14.09	1.32	71.59	138.42	23.74	0	44.88	12.32	108.51	4.78	31.27	22.88	248.39	149.6	4.64	16.93	16.91	483.95	86.34	7.47	5.17	182.29	0	49.98	18.5	30.5	11.15	42.21	1.92	21.45	75.33	48.77	61.97	0	77.35	29.16	23.69	10.07	9.69	126.18	10.69	21.62	171.3	59.35	0.86	144.29	247.08	71.83	0	299.06	70.18	56.1	33.6	127.67	32.62	5.42	2.17	294.98	1.44	96.22	0	3.01	15.11	20.91	55.81	181.56	16.84	0.41	93.78	58.11	132.23
gene26	33.81	174.71	141	58.34	2.55	9.78	23.75	26.58	0	197.4	27.38	157.09	18.45	18.06	82.6	41.19	53.18	45.9	37.74	10.99	75.1	15.88	114.19	13.14	129.02	15.86	6.59	13.35	36.29	4.7	142.76	0	32.85	24.18	46.19	25.4	79.03	0	100.26	139.16	35.3	0	141.13	77.53	7.47	51.65	39.74	0	36.2	3.7	16.15	26.76	0	0	21.45	8.86	206.71	98.24	31.34	0	10.29	37.9	53.7	0	43.21	0	0	50.89	23.75	16.36	48.77	58.96	55.87	0	1.63	16.08	20.44	19.65	11.61	0	54.17	6.5	36.65	68.38	37.65	0	31.57	0	5.23	0	1.58	0	53.22	3.99	21.79	10.66
gene27	708.57	158.85	105.05	533.62	64.63	482.99	327.09	355.13	745.66	299.66	343.8	560.21	41.16	584.9	186.21	334.51	920.56	594.53	819.98	585.06	246.29	475.48	252.23	283.56	32.24	627.84	843.14	585.87	17.47	121.36	613.24	314.59	178.37	1020.8	576.43	738.82	330.69	895.69	120.95	106.39	79.81	1136.07	230.81	381.56	107.75	530.01	517.08	40.7	313.66	470.85	492.95	311.79	234.42	900.11	1124.71	605.86	583.23	1219.05	183.58	816.36	518.64	700.25	442.02	452.03	791.77	366.92	275.71	283.49	503.8	553.45	583.69	267.11	31.92	0	100.19	462.46	482.62	473.35	542.04	504.51	179.47	707.44	376.16	473.83	189.61	19.44	412.03	551.85	321.54	1011.46	50.46	1342.63	492.21	360.09	246.95	62.94
gene28	270.46	129.75	82.84	131.8	149.65	330.24	205.8	138.23	139.24	382.95	205.38	129.2	130.58	135.86	113.1	650.78	358.94	71.6	5.15	157.14	157.7	150.82	51.2	207.61	59.85	303.01	447.46	104.35	88.91	314.92	294.22	278.81	215.62	316.23	86.02	60.58	330.69	129.33	42.97	177.2	271.05	229.54	18.31	166.51	281.57	507.03	798.25	76.7	77.56	66.6	156.29	180.65	246.59	1.92	214.47	24.37	362.33	69.52	191.17	341.14	190.4	26.85	167.8	193.92	343.48	314.24	102.19	76.33	20.63	439.19	23.09	18.55	75.25	0	39.82	197.37	93.45	404.48	358.13	75.62	149.86	162.46	247.25	674.51	31.38	0	257.05	458.06	318.93	112.8	1.58	492.14	279.98	197.54	21.79	238.87
gene29	99.01	88.64	128.67	82.1	142.87	0	134.56	7.98	220.78	580.3	95.84	38.19	2.84	375.21	301.17	108.74	238.08	77.1	296.79	274.68	57.57	138.91	142.48	107.75	130.91	130.37	105.36	138.32	556.38	137.89	128.83	304.46	34.9	14.88	154.51	64.49	151.83	73.1	216.44	642.35	478.32	108.72	371.55	291.61	36.9	206.64	345.54	222.39	99.97	227.55	10.76	82.52	302.14	178.24	1.95	101.92	60.39	303.78	270.56	17.58	46.31	183.14	127.53	226.22	32.84	10.69	9.83	0	238.28	320.25	0	7.29	3.42	0	81.27	112.58	93.45	1.9	82.9	34.1	0	114.8	577.14	168.44	290.75	0	94.7	12.31	151.62	0	31.58	0.54	190.58	85.8	123.48	223.94
gene30	260.81	35.97	252.04	192.36	270.88	637.17	311.76	50.51	334.21	550.45	366.94	221.6	160.39	322.04	477.8	113.68	355.31	273.54	49.77	145.77	317.91	166.7	149.16	70.96	574.18	49.33	312.13	134.68	237.87	278.94	525.77	174.73	550.48	403.66	22.3	451.41	172.63	339.56	141.64	400.79	607.65	88.19	69.43	509.23	402.59	249.64	836.13	438.15	144.78	172.05	331.89	115.98	353.75	153.33	370.44	301.33	120.78	315.88	425.18	263.92	92.63	122.88	255.06	103.41	245.46	25.65	452.08	182.35	50.22	142.1	87.39	90.75	469.74	0	234.05	93.57	165	192.09	177.41	183.86	269.02	145.13	410.98	562.2	161.06	0	281.1	403.03	214.36	291.74	247.89	267.2	244.63	347.2	406.74	381.76
gene31	168.56	29.55	340.19	201.42	53.56	35.47	42.22	187.07	145.51	237.83	131.44	230.44	210.07	78.25	116.91	270.2	202.31	517.68	251	285.67	300.54	307.6	180.32	549.25	409.57	444.97	145.37	212.33	245.44	227.61	276.81	58.24	297.7	5.58	224.6	44.95	509.68	938.24	87.53	78.86	757.33	129.3	187.68	401.11	515.67	1159.55	377.5	619.89	344.51	192.4	308.19	374.56	425.41	30.67	259.31	888.47	651.47	256.93	1284.39	237.68	142.37	74.3	570.49	192.64	48.47	621.13	14.74	144.18	22.97	240.23	373.92	817.43	95.83	3254.98	63.39	81.87	379.65	542.67	626.73	188.36	105.48	67.15	145.22	203.38	77.39	5074.81	228.47	198.17	399.96	159.45	4.74	1859.22	1065.33	478.89	769.9	245.26
gene32	487.8	1003.28	687.58	777.84	530.55	1492.07	693.93	834.75	1206.75	1740.9	996.77	984.96	728.99	1251.23	1462.61	839.92	582.52	905.06	1063.5	656.48	903.67	788.18	971.73	791.02	871.51	577.81	877.12	741.35	726.92	1236.31	1361.44	1523.18	757.6	810.86	758.24	980.98	952.56	1487.83	1359.11	2003.18	1421.28	575.31	2278.2	654.36	978.07	748.89	1161.87	1479.32	1190.36	1045.27	993.63	996.96	721.48	711.06	818.88	458.64	880.33	666.51	931.83	698.82	852.49	606.34	1119.22	731.31	889.86	1053.89	1663.72	877.81	1008.7	1289	560.91	1094.17	942.9	12.97	1173.51	833.35	1019.11	1420.43	830.67	625.16	813.38	1065.54	1545.13	935.83	663.07	2741.56	968.41	904.03	708.43	1604.37	734.14	920.26	668.05	1084.98	726.32	972.53
gene33	819.24	600.1	489.76	712.5	739.5	1632.74	907.67	158.25	702.32	674.22	310.67	816.58	480.62	830.99	788.77	579.95	747.8	643.88	666.66	719.25	300.79	459.35	664.97	298.8	1439.16	675.05	693.39	484.41	477.61	509.35	132.64	850.64	607.58	358.14	1407.84	616.34	406.04	611.83	459.35	492.34	812.05	461.68	1014.73	1636.83	1149.88	356.62	1541.86	163.25	636.64	604.92	308.37	1411.37	377.86	571.95	1215.29	811.94	682.08	577.08	1454.48	279.57	866.4	1252.17	527.41	586.22	112.05	372.11	415.85	832.33	533.69	254.04	695.96	574.42	1109.48	4720.63	1016.85	197.28	363.29	393.84	761.88	567.08	792.98	684.65	491.26	406.18	531	2757.9	1612.69	781.61	470.29	894.33	2189.9	337.47	429.04	538.81	495.21	587.8
gene34	775.97	1188.26	1469.8	1272.71	1963.97	1252.48	1237.46	935.74	2522.69	1001.26	2291.96	1136.36	903.08	2063.69	1937.34	1874.6	2859.42	1015.21	1436.1	1178.37	2175.33	1329.65	809.23	1051.19	2135.83	1946.69	908.73	1623.46	415.24	1679.43	2456.35	2416.56	1090.2	1000.79	2850	3648.39	927.58	2406.37	1046.35	3000.44	3131.45	1619.96	1975.99	1869.62	1270.62	1079.47	1761.29	4997.72	2004.55	1759.38	834.95	1108.43	634.84	1678.94	2831.52	2115.93	2157.69	1920.1	2944.89	1478.25	1648.3	1193.79	1553.82	1620.18	982.17	1522.05	2084.12	1147.09	1986.41	1593.86	1097.44	1760.49	1022.94	2841.25	1266.13	1546.8	1182.75	894.39	644.97	2035.42	989.42	1756.56	934.52	1067.56	489.46	58.33	1886.5	1127.2	1283.55	1044.39	2192.94	2170.93	852.63	2288.71	1946.55	255.93
